# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v20x_d8,30,DMA1_Channel4_IRQHandler
v20x_d8,31,DMA1_Channel5_IRQHandler
v20x_d8,32,DMA1_Channel6_IRQHandler
v20x_d8,33,DMA1_Channel7_IRQHandler
v20x_d8,34,ADC1_2_IRQHandler
v20x_d8,35,USB_HP_CAN1_TX_IRQHandler
v20x_d8,36,USB_LP_CAN1_RX0_IRQHandler
v20x_d8,37,CAN1_RX1_IRQHandler
v20x_d8,38,CAN1_SCE_IRQHandler
v20x_d8,39,EXTI9_5_IRQHandler
v20x_d8,40,TIM1_BRK_IRQHandler
v20x_d8,41,TIM1_UP_IRQHandler
v20x_d8,42,TIM1_TRG_COM_IRQHandler
v20x_d8,43,TIM1_CC_IRQHandler
v20x_d8,44,TIM2_IRQHandler
v20x_d8,45,TIM3_IRQHandler
v20x_d8,46,TIM4_IRQHandler
v20x_d8,47,I2C1_EV_IRQHandler
v20x_d8,48,I2C1_ER_IRQHandler
v20x_d8,49,I2C2_EV_IRQHandler
v20x_d8,50,I2C2_ER_IRQHandler
v20x_d8,51,SPI1_IRQHandler
v20x_d8,52,SPI2_IRQHandler
v20x_d8,53,USART1_IRQHandler
v20x_d8,54,USART2_IRQHandler
v20x_d8,55,USART3_IRQHandler
v20x_d8,56,EXTI15_10_IRQHandler
v20x_d8,57,RTCAlarm_IRQHandler
v20x_d8,58,USBWakeUp_IRQHandler
v20x_d8,59,USBFS_IRQHandler
v20x_d8,60,USBFSWakeUp_IRQHandler
v20x_d8,61,ETH_IRQHandler
v20x_d8,62,ETHWakeUp_IRQHandler
v20x_d8,63,
v20x_d8,64,
v20x_d8,65,TIM5_IRQHandler
v20x_d8,66,UART4_IRQHandler
v20x_d8,67,DMA1_Channel8_IRQHandler
v20x_d8,68,OSC32KCal_IRQHandler
v20x_d8,69,OSCWakeUp_IRQHandler
v20x_d8w,1,
v20x_d8w,2,NMI_Handler
v20x_d8w,3,HardFault_Handler
v20x_d8w,4,
v20x_d8w,5,Ecall_M_Mode_Handler
v20x_d8w,6,
v20x_d8w,7,
v20x_d8w,8,Ecall_U_Mode_Handler
v20x_d8w,9,Break_Point_Handler
v20x_d8w,10,
v20x_d8w,11,
v20x_d8w,12,SysTick_Handler
v20x_d8w,13,
v20x_d8w,14,SW_Handler
v20x_d8w,15,
v20x_d8w,16,WWDG_IRQHandler
v20x_d8w,17,PVD_IRQHandler
v20x_d8w,18,TAMPER_IRQHandler
v20x_d8w,19,RTC_IRQHandler
v20x_d8w,20,FLASH_IRQHandler
v20x_d8w,21,RCC_IRQHandler
v20x_d8w,22,EXTI0_IRQHandler
v20x_d8w,23,EXTI1_IRQHandler
v20x_d8w,24,EXTI2_IRQHandler
v20x_d8w,25,EXTI3_IRQHandler
v20x_d8w,26,EXTI4_IRQHandler
v20x_d8w,27,DMA1_Channel1_IRQHandler
