# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v4x7,48,I2C1_ER_IRQHandler
v4x7,49,I3C_EV_IRQHandler
v4x7,50,I3C_ER_IRQHandler
v4x7,51,SPI1_IRQHandler
v4x7,52,SPI2_IRQHandler
v4x7,53,USART1_IRQHandler
v4x7,54,USART2_IRQHandler
v4x7,55,USART3_IRQHandler
v4x7,56,EXTI15_10_IRQHandler
v4x7,57,RTCAlarm_IRQHandler
v4x7,58,USBHS2WakeUp_IRQHandler
v4x7,59,TIM8_BRK_IRQHandler
v4x7,60,TIM8_UP_IRQHandler
v4x7,61,TIM8_TRG_COM_IRQHandler
v4x7,62,TIM8_CC_IRQHandler
v4x7,63,RNG_IRQHandler
v4x7,64,
v4x7,65,SDIO_IRQHandler
v4x7,66,TIM5_IRQHandler
v4x7,67,SPI3_IRQHandler
v4x7,68,USART4_IRQHandler
v4x7,69,USART5_IRQHandler
v4x7,70,TIM6_IRQHandler
v4x7,71,TIM7_IRQHandler
v4x7,72,DMA2_Channel1_IRQHandler
v4x7,73,DMA2_Channel2_IRQHandler
v4x7,74,DMA2_Channel3_IRQHandler
v4x7,75,DMA2_Channel4_IRQHandler
v4x7,76,DMA2_Channel5_IRQHandler
v4x7,77,ETH_IRQHandler
v4x7,78,ETH_WKUP_IRQHandler
v4x7,79,LTDC_IRQHandler
v4x7,80,PSRAM_IRQHandler
v4x7,81,USART9_IRQHandler
v4x7,82,USART10_IRQHandler
v4x7,83,USBHS1_IRQHandler
v4x7,84,USBHS1Wakeup_IRQHandler
v4x7,85,USBHS2_IRQHandler
v4x7,86,DVP_IRQHandler
v4x7,87,USART6_IRQHandler
v4x7,88,USART7_IRQHandler
v4x7,89,USART8_IRQHandler
v4x7,90,DMA1_Channel8_IRQHandler
v4x7,91,DMA1_Channel9_IRQHandler
v4x7,92,DMA1_Channel10_IRQHandler
v4x7,93,DMA1_Channel11_IRQHandler
v4x7,94,DMA1_Channel12_IRQHandler
v4x7,95,DMA1_Channel13_IRQHandler
v4x7,96,I3CWakeup_IRQHandler
v4x7,97,ARGB_IRQHandler
v4x7,98,DMA2_Channel6_IRQHandler
v4x7,99,DMA2_Channel7_IRQHandler
v4x7,100,DMA2_Channel8_IRQHandler
v4x7,101,DMA2_Channel9_IRQHandler
v4x7,102,DMA2_Channel10_IRQHandler
v4x7,103,DMA2_Channel11_IRQHandler
x035,1,
x035,2,NMI_Handler
x035,3,HardFault_Handler
x035,4,
x035,5,Ecall_M_Mode_Handler
x035,6,
x035,7,
x035,8,Ecall_U_Mode_Handler
x035,9,Break_Point_Handler
x035,10,
x035,11,
x035,12,SysTick_Handler
x035,13,
x035,14,SW_Handler
x035,15,
x035,16,WWDG_IRQHandler
x035,17,PVD_IRQHandler
x035,18,FLASH_IRQHandler
x035,19,
x035,20,EXTI7_0_IRQHandler
x035,21,AWU_IRQHandler
x035,22,DMA1_Channel1_IRQHandler
x035,23,DMA1_Channel2_IRQHandler
x035,24,DMA1_Channel3_IRQHandler
x035,25,DMA1_Channel4_IRQHandler
x035,26,DMA1_Channel5_IRQHandler
x035,27,DMA1_Channel6_IRQHandler
x035,28,DMA1_Channel7_IRQHandler
x035,29,ADC1_IRQHandler
x035,30,I2C1_EV_IRQHandler
x035,31,I2C1_ER_IRQHandler
x035,32,USART1_IRQHandler
x035,33,SPI1_IRQHandler
x035,34,TIM1_BRK_IRQHandler
x035,35,TIM1_UP_IRQHandler
x035,36,TIM1_TRG_COM_IRQHandler
x035,37,TIM1_CC_IRQHandler
x035,38,TIM2_UP_IRQHandler
x035,39,USART2_IRQHandler
x035,40,EXTI15_8_IRQHandler
x035,41,EXTI25_16_IRQHandler
x035,42,USART3_IRQHandler
x035,43,USART4_IRQHandler
x035,44,DMA1_Channel8_IRQHandler
x035,45,USBFS_IRQHandler
x035,46,USBFSWakeUp_IRQHandler
x035,47,PIOC_IRQHandler
x035,48,OPA_IRQHandler
x035,49,USBPD_IRQHandler
x035,50,USBPDWakeUp_IRQHandler
x035,51,TIM2_CC_IRQHandler
x035,52,TIM2_TRG_COM_IRQHandler
x035,53,TIM2_BRK_IRQHandler
x035,54,TIM3_IRQHandler
x3x5,1,
x3x5,2,NMI_Handler
x3x5,3,HardFault_Handler
x3x5,4,
x3x5,5,Ecall_M_Mode_Handler
x3x5,6,
x3x5,7,
x3x5,8,Ecall_U_Mode_Handler
x3x5,9,Break_Point_Handler
x3x5,10,
x3x5,11,
x3x5,12,SysTick_Handler
x3x5,13,
x3x5,14,SW_Handler
x3x5,15,
x3x5,16,WWDG_IRQHandler
x3x5,17,EXTI15_8_IRQHandler
x3x5,18,FLASH_IRQHandler
x3x5,19,RCC_IRQHandler
x3x5,20,EXTI7_0_IRQHandler
x3x5,21,SPI2_IRQHandler
x3x5,22,DMA1_Channel1_IRQHandler
x3x5,23,DMA1_Channel2_IRQHandler
x3x5,24,DMA1_Channel3_IRQHandler
x3x5,25,DMA1_Channel4_IRQHandler
x3x5,26,DMA1_Channel5_IRQHandler
x3x5,27,DMA1_Channel6_IRQHandler
x3x5,28,DMA1_Channel7_IRQHandler
x3x5,29,DMA1_Channel8_IRQHandler
x3x5,30,DMA1_Channel9_IRQHandler
x3x5,31,DMA1_Channel10_IRQHandler
x3x5,32,DMA1_Channel11_IRQHandler
x3x5,33,USART2_IRQHandler
x3x5,34,I2C1_EV_IRQHandler
x3x5,35,I2C1_ER_IRQHandler
x3x5,36,USART1_IRQHandler
x3x5,37,SPI1_IRQHandler
x3x5,38,TIM1_UP_IRQHandler
x3x5,39,TIM1_CC_IRQHandler
x3x5,40,TIM1_TRG_COM_IRQHandler
x3x5,41,TIM1_BRK_IRQHandler
x3x5,42,TIM2_IRQHandler
x3x5,43,I2C2_EV_IRQHandler
x3x5,44,I2C2_ER_IRQHandler
x3x5,45,USBPD_IRQHandler
x3x5,46,USBPDWakeUp_IRQHandler
x3x5,47,ARGB_IRQHandler
x3x5,48,TIM3_IRQHandler
x3x5,49,TIM4_IRQHandler
x3x5,50,SPI3_IRQHandler
x3x5,51,USART3_IRQHandler
x3x5,52,USART4_IRQHandler
x3x5,53,USBSS_IRQHandler
x3x5,54,USBSS_LINK_IRQHandler
x3x5,55,USBHS_IRQHandler
x3x5,56,USBHSWakeup_IRQHandler
x3x5,57,USBSSWakeup_IRQHandler
x3x5,58,PVD_IRQHandler
x3x5,59,ADC1_IRQHandler
x3x5,60,ADC2_IRQHandler
x3x5,61,ADC3_IRQHandler
x3x5,62,RTCAlarm_IRQHandler
x3x5,63,RTC_IRQHandler
x3x5,64,USART_WKUP_IRQHandler
x3x5,65,ADC4_IRQHandler
l103,1,
l103,2,NMI_Handler
l103,3,HardFault_Handler
l103,4,
l103,5,Ecall_M_Mode_Handler
l103,6,
l103,7,
l103,8,Ecall_U_Mode_Handler
l103,9,Break_Point_Handler
l103,10,
l103,11,
l103,12,SysTick_Handler
l103,13,
l103,14,SW_Handler
l103,15,
l103,16,WWDG_IRQHandler
l103,17,PVD_IRQHandler
l103,18,TAMPER_IRQHandler
l103,19,RTC_IRQHandler
l103,20,FLASH_IRQHandler
l103,21,RCC_IRQHandler
l103,22,EXTI0_IRQHandler
l103,23,EXTI1_IRQHandler
l103,24,EXTI2_IRQHandler
l103,25,EXTI3_IRQHandler
l103,26,EXTI4_IRQHandler
l103,27,DMA1_Channel1_IRQHandler
l103,28,DMA1_Channel2_IRQHandler
l103,29,DMA1_Channel3_IRQHandler
l103,30,DMA1_Channel4_IRQHandler
l103,31,DMA1_Channel5_IRQHandler
l103,32,DMA1_Channel6_IRQHandler
l103,33,DMA1_Channel7_IRQHandler
l103,34,ADC_IRQHandler
l103,35,USB_HP_CAN1_TX_IRQHandler
l103,36,USB_LP_CAN1_RX0_IRQHandler
l103,37,
l103,38,CAN1_SCE_IRQHandler
l103,39,EXTI9_5_IRQHandler
l103,40,TIM1_BRK_IRQHandler
l103,41,TIM1_UP_IRQHandler
l103,42,TIM1_TRG_COM_IRQHandler
l103,43,TIM1_CC_IRQHandler
l103,44,TIM2_IRQHandler
l103,45,TIM3_IRQHandler
l103,46,TIM4_IRQHandler
l103,47,I2C1_EV_IRQHandler
l103,48,I2C1_ER_IRQHandler
l103,49,I2C2_EV_IRQHandler
l103,50,I2C2_ER_IRQHandler
l103,51,SPI1_IRQHandler
l103,52,SPI2_IRQHandler
l103,53,USART1_IRQHandler
l103,54,USART2_IRQHandler
l103,55,USART3_IRQHandler
l103,56,EXTI15_10_IRQHandler
l103,57,RTCAlarm_IRQHandler
l103,58,LPTIMWakeUp_IRQHandler
l103,59,USBFS_IRQHandler
l103,60,USBFSWakeUp_IRQHandler
l103,61,USART4_IRQHandler
l103,62,DMA1_Channel8_IRQHandler
l103,63,LPTIM_IRQHandler
l103,64,OPA_IRQHandler
l103,65,USBPD_IRQHandler
l103,66,
l103,67,USBPDWakeUp_IRQHandler
l103,68,CMPWakeUp_IRQHandler
